

[07/09/2023, 06:46:20] plate_detected; ['AKK67T1']
[07/09/2023, 06:46:20] plate_detected; ['AKK672N']
[07/09/2023, 06:46:21] plate_detected; ['AAN4321']
[07/09/2023, 06:46:21] plate_detected; ['AAANV2']
[07/09/2023, 06:46:21] plate_detected; ['ANNL52']
[07/09/2023, 06:46:21] plate_detected; ['AN51']

[07/09/2023, 08:03:26] plate_detected; ['A1NDA']
[07/09/2023, 08:03:26] plate_detected; ['A1NDA']

[07/09/2023, 09:20:03] plate_detected; ['VN50K52']
[07/09/2023, 09:20:03] plate_detected; ['ANN6225']
[07/09/2023, 09:20:03] plate_detected; ['AYC22']
[07/09/2023, 09:20:04] plate_detected; ['AA722']
[07/09/2023, 09:20:04] plate_detected; ['AXN67Z']
[07/09/2023, 09:20:04] plate_detected; ['AXN272']
[07/09/2023, 09:20:05] plate_detected; ['AKX67Z0']

[07/09/2023, 09:46:45] plate_detected; ['ANN672']
[07/09/2023, 09:46:45] plate_detected; ['1310520']

[07/09/2023, 10:05:07] plate_detected; ['ATL666']
[07/09/2023, 10:05:07] plate_detected; ['ATL6867']
[07/09/2023, 10:05:07] white_plate_detected; ['ATL6867']
[07/09/2023, 10:05:07] plate_detected; ['ATL6867']

[07/09/2023, 10:05:42] plate_detected; ['BJW9132']
[07/09/2023, 10:05:42] plate_detected; ['BLJW655']
[07/09/2023, 10:05:43] plate_detected; ['BJW9155']
[07/09/2023, 10:05:43] white_plate_detected; ['BJW9155']
[07/09/2023, 10:05:43] plate_detected; ['BJW9155']
[07/09/2023, 10:05:43] plate_detected; ['BJW9155']
[07/09/2023, 10:05:43] plate_detected; ['BJW9155']
[07/09/2023, 10:05:44] plate_detected; ['BJW9155']

[07/09/2023, 10:27:02] plate_detected; ['BJW9155']
[07/09/2023, 10:27:02] white_plate_detected; ['BJW9155']
[07/09/2023, 10:27:03] plate_detected; ['BJV9155']
[07/09/2023, 10:27:03] plate_detected; ['BJW9155']
[07/09/2023, 10:27:03] plate_detected; ['BJW9155']
[07/09/2023, 10:27:03] plate_detected; ['BJW9155']
[07/09/2023, 10:27:04] plate_detected; ['BJW9155']
[07/09/2023, 10:27:04] plate_detected; ['BJW9155']
[07/09/2023, 10:27:04] plate_detected; ['BJW9155']
[07/09/2023, 10:27:05] plate_detected; ['AJW95']

[07/09/2023, 10:49:04] plate_detected; ['AFE66']
[07/09/2023, 10:49:04] plate_detected; ['N2E6Q']
[07/09/2023, 10:49:04] plate_detected; ['A5026Q']
[07/09/2023, 10:49:05] plate_detected; ['5026Q']
[07/09/2023, 10:49:05] plate_detected; ['B5026QD']

[07/09/2023, 10:58:05] plate_detected; ['BC52']
[07/09/2023, 10:58:06] plate_detected; ['BN213']
[07/09/2023, 10:58:06] plate_detected; ['BFPM3215']
[07/09/2023, 10:58:06] plate_detected; ['BFM3715']
[07/09/2023, 10:58:07] plate_detected; ['BFM215']
[07/09/2023, 10:58:07] plate_detected; ['BFM3215']
[07/09/2023, 10:58:07] plate_detected; ['BFM3215']
[07/09/2023, 10:58:08] plate_detected; ['BPM3215']
[07/09/2023, 10:58:08] white_plate_detected; ['BPM3215']

[07/09/2023, 11:08:18] plate_detected; ['A53S']
[07/09/2023, 11:08:19] plate_detected; ['7M']
[07/09/2023, 11:08:19] plate_detected; ['LS4']
[07/09/2023, 11:08:19] plate_detected; ['21D78H2']
[07/09/2023, 11:08:20] plate_detected; ['DL9HS']

[07/09/2023, 12:50:10] plate_detected; ['5026QM']
[07/09/2023, 12:50:10] white_plate_detected; ['5026QM']
[07/09/2023, 12:50:10] plate_detected; ['5026QM']
[07/09/2023, 12:50:10] plate_detected; ['5026QM']
[07/09/2023, 12:50:11] plate_detected; ['5026QM']
[07/09/2023, 12:50:11] plate_detected; ['5226907']
[07/09/2023, 12:50:11] plate_detected; ['215627']

[07/09/2023, 13:20:29] plate_detected; ['ANN7136']
[07/09/2023, 13:20:29] plate_detected; ['AKN7136']
[07/09/2023, 13:20:30] plate_detected; ['ANN7136']
[07/09/2023, 13:20:30] plate_detected; ['ANN7136']
[07/09/2023, 13:20:30] plate_detected; ['ANN7136']

[07/09/2023, 13:47:07] plate_detected; ['AAD73']
[07/09/2023, 13:47:08] plate_detected; ['AAD737']
[07/09/2023, 13:47:08] plate_detected; ['AAD7379']
[07/09/2023, 13:47:08] white_plate_detected; ['AAD7379']
[07/09/2023, 13:47:08] plate_detected; ['AQ7391']

[07/09/2023, 14:45:36] plate_detected; ['ANNV713']
[07/09/2023, 14:45:36] plate_detected; ['ANN7136']
[07/09/2023, 14:45:37] plate_detected; ['ANN7136']
[07/09/2023, 14:45:37] plate_detected; ['ANN7136']
[07/09/2023, 14:45:37] plate_detected; ['AN7136']
[07/09/2023, 14:45:37] plate_detected; ['ANN7136']
[07/09/2023, 14:45:38] plate_detected; ['ANN7136']

[07/09/2023, 14:53:18] plate_detected; ['5118S7']
[07/09/2023, 14:53:18] plate_detected; ['511837']
[07/09/2023, 14:53:18] plate_detected; ['5118S7']
