[07/09/2023, 17:03:08] plate_detected; ['BBM9626']
[07/09/2023, 17:03:08] plate_detected; ['BBM9626']
[07/09/2023, 17:14:37] plate_detected; ['APN7596']
[07/09/2023, 17:14:37] white_plate_detected; ['APN7596']
[07/09/2023, 17:14:37] plate_detected; ['APN7596']
[07/09/2023, 17:14:37] plate_detected; ['APN7596']
[07/09/2023, 17:14:38] plate_detected; ['APN7596']
[07/09/2023, 17:14:38] plate_detected; ['APN7596']
[07/09/2023, 17:14:38] plate_detected; ['APN7596']
[07/09/2023, 17:14:39] plate_detected; ['APN7596']
[07/09/2023, 17:14:39] plate_detected; ['APN7596']
[07/09/2023, 17:14:39] plate_detected; ['APN7596']
[07/09/2023, 17:14:40] plate_detected; ['APN7596']
[07/09/2023, 17:14:40] plate_detected; ['APN7596']
[07/09/2023, 17:14:40] plate_detected; ['APN7596']
[07/09/2023, 17:14:41] plate_detected; ['APN7596']
[07/09/2023, 17:14:41] plate_detected; ['APN7596']
[07/09/2023, 17:14:42] plate_detected; ['APN7596']
[07/09/2023, 17:14:42] plate_detected; ['APN7596']
[07/09/2023, 17:14:42] plate_detected; ['APN7596']
[07/09/2023, 17:14:42] plate_detected; ['APN7596']
[07/09/2023, 17:14:43] plate_detected; ['APN7596']
[07/09/2023, 17:14:43] plate_detected; ['APN7596']
[07/09/2023, 17:14:43] plate_detected; ['APN7596']
[07/09/2023, 17:14:44] plate_detected; ['APN7596']
[07/09/2023, 17:14:44] plate_detected; ['APN7596']
[07/09/2023, 17:14:44] plate_detected; ['APN7596']
[07/09/2023, 17:14:44] plate_detected; ['APN7596']
[07/09/2023, 17:14:45] plate_detected; ['APN7596']
[07/09/2023, 17:14:45] plate_detected; ['APN7596']
[07/09/2023, 17:14:45] plate_detected; ['APN7596']
[07/09/2023, 17:14:46] plate_detected; ['APN7596']
[07/09/2023, 17:14:46] plate_detected; ['APN7596']
[07/09/2023, 17:14:46] plate_detected; ['APN7596']
[07/09/2023, 17:14:47] plate_detected; ['APN7596']
[07/09/2023, 17:14:47] plate_detected; ['APN7596']
[07/09/2023, 17:14:47] plate_detected; ['APN7596']
[07/09/2023, 17:14:48] plate_detected; ['APN7596']
[07/09/2023, 17:14:48] plate_detected; ['APN7596']
[07/09/2023, 17:14:48] plate_detected; ['APN7596']
[07/09/2023, 17:14:49] plate_detected; ['APN7596']
[07/09/2023, 17:14:49] plate_detected; ['APN7596']
[07/09/2023, 17:14:49] plate_detected; ['APN7596']
[07/09/2023, 17:14:49] plate_detected; ['APN7596']
[07/09/2023, 17:14:50] plate_detected; ['APN7596']
[07/09/2023, 17:14:50] plate_detected; ['APN7596']
[07/09/2023, 17:14:50] plate_detected; ['APN7596']
[07/09/2023, 17:14:51] plate_detected; ['APN7596']
[07/09/2023, 17:14:51] plate_detected; ['APN7596']
[07/09/2023, 17:14:51] plate_detected; ['APN7596']
[07/09/2023, 17:14:52] plate_detected; ['APN7596']
[07/09/2023, 17:14:52] plate_detected; ['APN7596']
[07/09/2023, 17:14:53] plate_detected; ['APN7596']
[07/09/2023, 17:14:53] plate_detected; ['APN7596']
[07/09/2023, 17:14:53] plate_detected; ['APN7596']
[07/09/2023, 17:14:54] plate_detected; ['APN7596']
[07/09/2023, 17:14:54] plate_detected; ['APN7596']
[07/09/2023, 17:14:54] plate_detected; ['APN7596']
[07/09/2023, 17:14:55] plate_detected; ['APN7596']
[07/09/2023, 17:14:55] plate_detected; ['APN7596']
[07/09/2023, 17:14:55] plate_detected; ['APN7596']
[07/09/2023, 17:14:56] plate_detected; ['APN7596']
[07/09/2023, 17:14:56] plate_detected; ['APN7596']
[07/09/2023, 17:14:56] plate_detected; ['APN7596']
[07/09/2023, 17:14:57] plate_detected; ['APN7596']
[07/09/2023, 17:14:57] plate_detected; ['APN7596']
[07/09/2023, 17:14:57] plate_detected; ['APN7596']
[07/09/2023, 17:14:58] plate_detected; ['APN7596']
[07/09/2023, 17:14:58] plate_detected; ['APN7596']
[07/09/2023, 17:14:58] plate_detected; ['APN7596']
[07/09/2023, 17:14:59] plate_detected; ['APN7596']
[07/09/2023, 17:14:59] plate_detected; ['APN7596']
[07/09/2023, 17:14:59] plate_detected; ['APN7596']
[07/09/2023, 17:15:00] plate_detected; ['APN7596']
[07/09/2023, 17:15:00] plate_detected; ['APN7596']
[07/09/2023, 17:15:00] plate_detected; ['APN7596']
