[07/28/2023, 17:26:20] plate_detected; ['0685GZ', '0685GZAT1L1A1']
[07/28/2023, 17:26:20] plate_detected; ['0685GZ', '0685GZAT111']
[07/28/2023, 17:26:21] plate_detected; ['0685GZ', '0685GZAT111A1']
[07/28/2023, 17:26:21] plate_detected; ['0685GZ', '0685GZAT1111']
[07/28/2023, 17:26:21] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:22] plate_detected; ['0685GZ', '0685GZAF11A1']
[07/28/2023, 17:26:22] plate_detected; ['0685GZ', '0685GZTAL111']
[07/28/2023, 17:26:23] plate_detected; ['0685GZ', '0685GZAF1A1A1']
[07/28/2023, 17:26:23] plate_detected; ['0685GZ', '0685GZAT111A1']
[07/28/2023, 17:26:24] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:24] plate_detected; ['0685GZ', '0685GZTAF11A1']
[07/28/2023, 17:26:24] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:25] plate_detected; ['0685GZ', '0685GZTA11A1']
[07/28/2023, 17:26:25] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:25] plate_detected; ['0685GZ', '0685GZAF1111']
[07/28/2023, 17:26:26] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:26] plate_detected; ['0685GZ', '0685GZBF1111']
[07/28/2023, 17:26:27] plate_detected; ['0685GZ', '0685GZAT111']
[07/28/2023, 17:26:27] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:27] plate_detected; ['0685GZ', '0685GZAT11A11']
[07/28/2023, 17:26:28] plate_detected; ['0685GZ', '0685GZAT1111']
[07/28/2023, 17:26:28] plate_detected; ['0685GZ', '0685GZTA11A1']
[07/28/2023, 17:26:28] plate_detected; ['06856Z', '06856ZAF11A9']
[07/28/2023, 17:26:29] plate_detected; ['06J0567', '06J0567TAA1911']
[07/28/2023, 17:26:29] plate_detected; ['06J62', '06J62AAA11A1']
[07/28/2023, 17:26:30] plate_detected; ['JG6362', 'JG6362AA11A1']
[07/28/2023, 17:26:30] plate_detected; ['A068562', 'A068562AL111A1']
[07/28/2023, 17:26:30] plate_detected; ['D64562', 'D64562AT11A1']
[07/28/2023, 17:26:31] plate_detected; ['AT11A1', 'AT11A10685J7']
[07/28/2023, 17:26:31] plate_detected; ['557575', '557575AF1AA1', '557575AF1AA1D685G2']
[07/28/2023, 17:26:31] plate_detected; ['0685G7']

[07/28/2023, 17:27:32] plate_detected; ['AT1A1A1']
[07/28/2023, 17:27:32] plate_detected; ['AL1A9A1']
[07/28/2023, 17:27:32] plate_detected; ['ALAA1A1']
[07/28/2023, 17:27:32] plate_detected; ['ALAA1A1']
[07/28/2023, 17:27:32] plate_detected; ['AAA1']
[07/28/2023, 17:27:33] plate_detected; ['A1AA1']
[07/28/2023, 17:27:33] plate_detected; ['A1AA1']
[07/28/2023, 17:27:33] plate_detected; ['AAA1']
[07/28/2023, 17:27:34] plate_detected; ['A11A1']
[07/28/2023, 17:27:34] plate_detected; ['AL111A1']
[07/28/2023, 17:27:34] plate_detected; ['A11A1']
[07/28/2023, 17:27:34] plate_detected; ['A11A1']
[07/28/2023, 17:27:35] plate_detected; ['A1111']
[07/28/2023, 17:27:35] plate_detected; ['A111']
[07/28/2023, 17:27:35] plate_detected; ['A119']
[07/28/2023, 17:27:35] plate_detected; ['1AL111']
[07/28/2023, 17:27:36] plate_detected; ['A111']
[07/28/2023, 17:27:36] plate_detected; ['A111']
[07/28/2023, 17:27:36] plate_detected; ['1AL111']
[07/28/2023, 17:27:36] plate_detected; ['1AT111']
[07/28/2023, 17:27:37] plate_detected; ['AAL111']
[07/28/2023, 17:27:37] plate_detected; ['AT111']
[07/28/2023, 17:27:37] plate_detected; ['AAT111']
[07/28/2023, 17:27:37] plate_detected; ['AAT111']
[07/28/2023, 17:27:38] plate_detected; ['1AT111']
[07/28/2023, 17:27:38] plate_detected; ['AAL111']
[07/28/2023, 17:27:38] plate_detected; ['1AT111']
[07/28/2023, 17:27:38] plate_detected; ['1AT111']
[07/28/2023, 17:27:39] plate_detected; ['1AL111']
[07/28/2023, 17:27:39] plate_detected; ['1AL111']
[07/28/2023, 17:27:39] plate_detected; ['1AL111']
[07/28/2023, 17:27:39] plate_detected; ['1AL111']
[07/28/2023, 17:27:39] plate_detected; ['1AL111']
[07/28/2023, 17:27:40] plate_detected; ['1AL111']
[07/28/2023, 17:27:40] plate_detected; ['1AL111']
[07/28/2023, 17:27:40] plate_detected; ['1AL111']
[07/28/2023, 17:27:41] plate_detected; ['1AT111']
[07/28/2023, 17:27:41] plate_detected; ['1AL111']
[07/28/2023, 17:27:41] plate_detected; ['1AL111']
[07/28/2023, 17:27:41] plate_detected; ['1AL111']
[07/28/2023, 17:27:42] plate_detected; ['AAT111']
[07/28/2023, 17:27:42] plate_detected; ['AAT111']
[07/28/2023, 17:27:42] plate_detected; ['1AT111']
[07/28/2023, 17:27:42] plate_detected; ['1AT111']
[07/28/2023, 17:27:43] plate_detected; ['AAL111']
[07/28/2023, 17:27:43] plate_detected; ['AAT111']
[07/28/2023, 17:27:43] plate_detected; ['AAT111']
[07/28/2023, 17:27:43] plate_detected; ['AAT111']
[07/28/2023, 17:27:44] plate_detected; ['AAL111']
[07/28/2023, 17:27:44] plate_detected; ['1AT111']
[07/28/2023, 17:27:44] plate_detected; ['AA111']
[07/28/2023, 17:27:44] plate_detected; ['1AT111']
[07/28/2023, 17:27:45] plate_detected; ['1AT111']
[07/28/2023, 17:27:45] plate_detected; ['1AL111']
[07/28/2023, 17:27:45] plate_detected; ['1AL111']
